순위,가수,노래제목,앨범,좋아요
1,헤이즈 (Heize),저 별 ,저 별,"60,236"
2,"찬열 (CHANYEOL), 펀치 (Punch)",Stay With Me , 도깨비 OST Part.1,"50,776"
3,정승환,이 바보야 , 목소리,"55,467"
4,마마무,Decalcomanie (데칼코마니) , MEMORY,"57,929"
5,TWICE (트와이스),TT , TWICEcoaster : LANE 1,"122,007"
6,지코 (ZICO),"BERMUDA TRIANGLE (Feat. Crush, DEAN) ", BERMUDA TRIANGLE,"56,163"
7,김희철X민경훈,나비잠 (Sweet Dream) , 나비잠 (Sweet Dream),"73,895"
8,BLACKPINK,불장난 , SQUARE TWO,"61,840"
9,세정 (구구단),꽃길 (Prod. By ZICO) , Jelly box 꽃길 (Prod. By 지코(ZICO)) 세정,"60,647"
10,볼빨간사춘기,우주를 줄게 , Full Album RED PLANET,"155,328"